#string_protein_id	preferred_name	protein_size	annotation
59689.fgenesh1_pg.C_scaffold_7001401	fgenesh1_pg.C_scaffold_7001401	262	AtMYB18 
59689.fgenesh1_pg.C_scaffold_7001406	fgenesh1_pg.C_scaffold_7001406	663	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001417	fgenesh1_pg.C_scaffold_7001417	222	Basix helix-loop-helix family protein 
59689.fgenesh1_pg.C_scaffold_7001430	fgenesh1_pg.C_scaffold_7001430	758	UMP-CMP kinase; Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
59689.fgenesh1_pg.C_scaffold_7001459	fgenesh1_pg.C_scaffold_7001459	195	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001503	fgenesh1_pg.C_scaffold_7001503	643	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001509	fgenesh1_pg.C_scaffold_7001509	244	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001513	fgenesh1_pg.C_scaffold_7001513	836	Expressed protein 
59689.fgenesh1_pg.C_scaffold_7001531	fgenesh1_pg.C_scaffold_7001531	431	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001549	fgenesh1_pg.C_scaffold_7001549	577	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001567	fgenesh1_pg.C_scaffold_7001567	172	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001606	fgenesh1_pg.C_scaffold_7001606	403	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001641	fgenesh1_pg.C_scaffold_7001641	478	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001672	fgenesh1_pg.C_scaffold_7001672	524	Uncharacterized protein; Belongs to the cytochrome P450 family
59689.fgenesh1_pg.C_scaffold_7001679	fgenesh1_pg.C_scaffold_7001679	431	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001729	fgenesh1_pg.C_scaffold_7001729	504	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001731	fgenesh1_pg.C_scaffold_7001731	108	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001739	fgenesh1_pg.C_scaffold_7001739	236	Expressed protein 
59689.fgenesh1_pg.C_scaffold_7001740	fgenesh1_pg.C_scaffold_7001740	396	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001741	fgenesh1_pg.C_scaffold_7001741	267	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001742	fgenesh1_pg.C_scaffold_7001742	533	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001747	fgenesh1_pg.C_scaffold_7001747	409	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001749	fgenesh1_pg.C_scaffold_7001749	230	Expressed protein 
59689.fgenesh1_pg.C_scaffold_7001753	fgenesh1_pg.C_scaffold_7001753	132	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001755	fgenesh1_pg.C_scaffold_7001755	498	Mate efflux family protein ; Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
59689.fgenesh1_pg.C_scaffold_7001757	fgenesh1_pg.C_scaffold_7001757	388	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001765	fgenesh1_pg.C_scaffold_7001765	143	Catalyzes the reduction of methionine sulfoxide (MetSO) to methionine in proteins. Plays a protective role against oxidative stress by restoring activity to proteins that have been inactivated by methionine oxidation. MSRB family specifically reduces the MetSO R- enantiomer
59689.fgenesh1_pg.C_scaffold_7001768	fgenesh1_pg.C_scaffold_7001768	141	Catalyzes the reduction of methionine sulfoxide (MetSO) to methionine in proteins. Plays a protective role against oxidative stress by restoring activity to proteins that have been inactivated by methionine oxidation. MSRB family specifically reduces the MetSO R- enantiomer
59689.fgenesh1_pg.C_scaffold_7001782	fgenesh1_pg.C_scaffold_7001782	480	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001784	fgenesh1_pg.C_scaffold_7001784	969	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001785	ATGA3OX3	348	Gibberellin 3-oxidase 3 ; Belongs to the iron/ascorbate-dependent oxidoreductase family
59689.fgenesh1_pg.C_scaffold_7001791	fgenesh1_pg.C_scaffold_7001791	669	Subtilase family protein ; Belongs to the peptidase S8 family
59689.fgenesh1_pg.C_scaffold_7001792	fgenesh1_pg.C_scaffold_7001792	658	Subtilase family protein ; Belongs to the peptidase S8 family
59689.fgenesh1_pg.C_scaffold_7001808	fgenesh1_pg.C_scaffold_7001808	500	Uncharacterized protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
59689.fgenesh1_pg.C_scaffold_7001824	fgenesh1_pg.C_scaffold_7001824	208	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001869	fgenesh1_pg.C_scaffold_7001869	547	FAD-binding domain-containing protein ; Belongs to the oxygen-dependent FAD-linked oxidoreductase family
59689.fgenesh1_pg.C_scaffold_7001883	fgenesh1_pg.C_scaffold_7001883	857	Subtilase family protein ; Belongs to the peptidase S8 family
59689.fgenesh1_pg.C_scaffold_7001893	fgenesh1_pg.C_scaffold_7001893	483	Transcription initiation factor 
59689.fgenesh1_pg.C_scaffold_7001905	fgenesh1_pg.C_scaffold_7001905	1252	Uncharacterized protein; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family
59689.fgenesh1_pg.C_scaffold_7001912	fgenesh1_pg.C_scaffold_7001912	1134	EMB1895 
59689.fgenesh1_pg.C_scaffold_7001919	fgenesh1_pg.C_scaffold_7001919	153	Predicted protein
59689.fgenesh1_pg.C_scaffold_7001921	fgenesh1_pg.C_scaffold_7001921	252	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001922	fgenesh1_pg.C_scaffold_7001922	158	Predicted protein
59689.fgenesh1_pg.C_scaffold_7001929	fgenesh1_pg.C_scaffold_7001929	371	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001937	fgenesh1_pg.C_scaffold_7001937	644	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001939	fgenesh1_pg.C_scaffold_7001939	171	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001940	fgenesh1_pg.C_scaffold_7001940	306	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001962	fgenesh1_pg.C_scaffold_7001962	777	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001966	fgenesh1_pg.C_scaffold_7001966	211	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001968	fgenesh1_pg.C_scaffold_7001968	187	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001973	fgenesh1_pg.C_scaffold_7001973	230	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001977	fgenesh1_pg.C_scaffold_7001977	686	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7001983	fgenesh1_pg.C_scaffold_7001983	148	Uncharacterized protein; Belongs to the profilin family
59689.fgenesh1_pg.C_scaffold_7002029	fgenesh1_pg.C_scaffold_7002029	109	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002054	fgenesh1_pg.C_scaffold_7002054	228	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002077	fgenesh1_pg.C_scaffold_7002077	166	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002091	fgenesh1_pg.C_scaffold_7002091	340	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002104	fgenesh1_pg.C_scaffold_7002104	567	Putative uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002107	fgenesh1_pg.C_scaffold_7002107	184	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002122	fgenesh1_pg.C_scaffold_7002122	389	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002123	fgenesh1_pg.C_scaffold_7002123	281	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002124	fgenesh1_pg.C_scaffold_7002124	282	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002133	fgenesh1_pg.C_scaffold_7002133	746	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002146	fgenesh1_pg.C_scaffold_7002146	235	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002148	fgenesh1_pg.C_scaffold_7002148	298	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002157	fgenesh1_pg.C_scaffold_7002157	123	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002165	fgenesh1_pg.C_scaffold_7002165	1299	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002172	fgenesh1_pg.C_scaffold_7002172	359	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002215	fgenesh1_pg.C_scaffold_7002215	4274	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002243	fgenesh1_pg.C_scaffold_7002243	185	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002262	fgenesh1_pg.C_scaffold_7002262	227	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002275	fgenesh1_pg.C_scaffold_7002275	273	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002295	fgenesh1_pg.C_scaffold_7002295	737	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002299	fgenesh1_pg.C_scaffold_7002299	338	Uncharacterized protein; Belongs to the iron/ascorbate-dependent oxidoreductase family
59689.fgenesh1_pg.C_scaffold_7002306	fgenesh1_pg.C_scaffold_7002306	255	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002309	fgenesh1_pg.C_scaffold_7002309	216	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002311	fgenesh1_pg.C_scaffold_7002311	368	Uncharacterized protein; Belongs to the 'GDSL' lipolytic enzyme family
59689.fgenesh1_pg.C_scaffold_7002312	fgenesh1_pg.C_scaffold_7002312	654	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002321	fgenesh1_pg.C_scaffold_7002321	923	Calmodulin-binding transcription activator 5 
59689.fgenesh1_pg.C_scaffold_7002322	fgenesh1_pg.C_scaffold_7002322	102	Uncharacterized protein; Belongs to the endosulfine family
59689.fgenesh1_pg.C_scaffold_7002326	L-arabinokinase	989	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002353	fgenesh1_pg.C_scaffold_7002353	151	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002358	fgenesh1_pg.C_scaffold_7002358	1153	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002364	fgenesh1_pg.C_scaffold_7002364	408	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002368	fgenesh1_pg.C_scaffold_7002368	172	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002387	fgenesh1_pg.C_scaffold_7002387	285	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002408	fgenesh1_pg.C_scaffold_7002408	487	Hydroperoxide lyase ; Belongs to the cytochrome P450 family
59689.fgenesh1_pg.C_scaffold_7002415	fgenesh1_pg.C_scaffold_7002415	829	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002418	fgenesh1_pg.C_scaffold_7002418	436	Uncharacterized protein; Belongs to the cytochrome P450 family
59689.fgenesh1_pg.C_scaffold_7002421	fgenesh1_pg.C_scaffold_7002421	213	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002432	fgenesh1_pg.C_scaffold_7002432	1390	Uncharacterized protein; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
59689.fgenesh1_pg.C_scaffold_7002435	fgenesh1_pg.C_scaffold_7002435	351	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002452	fgenesh1_pg.C_scaffold_7002452	239	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002465	fgenesh1_pg.C_scaffold_7002465	1372	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002488	fgenesh1_pg.C_scaffold_7002488	411	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002496	fgenesh1_pg.C_scaffold_7002496	249	Uncharacterized protein; Belongs to the BI1 family
59689.fgenesh1_pg.C_scaffold_7002507	fgenesh1_pg.C_scaffold_7002507	237	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002516	fgenesh1_pg.C_scaffold_7002516	726	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002557	fgenesh1_pg.C_scaffold_7002557	797	Binding protein 
59689.fgenesh1_pg.C_scaffold_7002575	fgenesh1_pg.C_scaffold_7002575	134	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002576	fgenesh1_pg.C_scaffold_7002576	116	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002586	fgenesh1_pg.C_scaffold_7002586	1506	DNA (cytosine-5)-methyltransferase; Cytosine-specific methyltransferase ; Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family
59689.fgenesh1_pg.C_scaffold_7002608	fgenesh1_pg.C_scaffold_7002608	162	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002615	fgenesh1_pg.C_scaffold_7002615	484	Pectate lyase family protein 
59689.fgenesh1_pg.C_scaffold_7002618	fgenesh1_pg.C_scaffold_7002618	254	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002626	fgenesh1_pg.C_scaffold_7002626	644	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002628	fgenesh1_pg.C_scaffold_7002628	1496	DNA (cytosine-5)-methyltransferase; Cytosine-specific methyltransferase ; Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family
59689.fgenesh1_pg.C_scaffold_7002632	fgenesh1_pg.C_scaffold_7002632	289	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002633	fgenesh1_pg.C_scaffold_7002633	179	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002635	fgenesh1_pg.C_scaffold_7002635	190	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002638	fgenesh1_pg.C_scaffold_7002638	208	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002655	fgenesh1_pg.C_scaffold_7002655	113	Uncharacterized protein; Belongs to the chaperonin (HSP60) family
59689.fgenesh1_pg.C_scaffold_7002664	fgenesh1_pg.C_scaffold_7002664	184	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002667	fgenesh1_pg.C_scaffold_7002667	499	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002673	fgenesh1_pg.C_scaffold_7002673	359	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002679	fgenesh1_pg.C_scaffold_7002679	210	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002698	fgenesh1_pg.C_scaffold_7002698	134	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002720	fgenesh1_pg.C_scaffold_7002720	446	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002738	fgenesh1_pg.C_scaffold_7002738	139	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002743	fgenesh1_pg.C_scaffold_7002743	344	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002750	fgenesh1_pg.C_scaffold_7002750	867	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002751	fgenesh1_pg.C_scaffold_7002751	2110	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002757	fgenesh1_pg.C_scaffold_7002757	404	Uncharacterized protein; Belongs to the protein kinase superfamily
59689.fgenesh1_pg.C_scaffold_7002765	fgenesh1_pg.C_scaffold_7002765	481	Predicted protein
59689.fgenesh1_pg.C_scaffold_7002802	fgenesh1_pg.C_scaffold_7002802	212	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002811	fgenesh1_pg.C_scaffold_7002811	266	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002817	fgenesh1_pg.C_scaffold_7002817	328	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002829	fgenesh1_pg.C_scaffold_7002829	828	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002878	fgenesh1_pg.C_scaffold_7002878	196	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002893	fgenesh1_pg.C_scaffold_7002893	135	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002897	fgenesh1_pg.C_scaffold_7002897	274	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002898	Trichohyalin-like	1370	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002915	fgenesh1_pg.C_scaffold_7002915	267	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002916	fgenesh1_pg.C_scaffold_7002916	189	E3 ubiquitin-protein ligase; E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates
59689.fgenesh1_pg.C_scaffold_7002925	fgenesh1_pg.C_scaffold_7002925	140	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002927	fgenesh1_pg.C_scaffold_7002927	603	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002928	fgenesh1_pg.C_scaffold_7002928	381	Translation elongation factor EF-1 alpha 
59689.fgenesh1_pg.C_scaffold_7002931	fgenesh1_pg.C_scaffold_7002931	152	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002946	fgenesh1_pg.C_scaffold_7002946	567	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002947	fgenesh1_pg.C_scaffold_7002947	227	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002949	fgenesh1_pg.C_scaffold_7002949	147	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7002952	fgenesh1_pg.C_scaffold_7002952	561	RabGAP/TBC domain-containing protein 
59689.fgenesh1_pg.C_scaffold_7002983	fgenesh1_pg.C_scaffold_7002983	595	RNA binding protein 
59689.fgenesh1_pg.C_scaffold_7002986	fgenesh1_pg.C_scaffold_7002986	135	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003005	fgenesh1_pg.C_scaffold_7003005	113	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003025	fgenesh1_pg.C_scaffold_7003025	634	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003044	fgenesh1_pg.C_scaffold_7003044	172	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003049	fgenesh1_pg.C_scaffold_7003049	176	Phospho-2-dehydro-3-deoxyheptonate aldolase
59689.fgenesh1_pg.C_scaffold_7003055	TOM20-4	201	Translocase of outer membrane 20-4 
59689.fgenesh1_pg.C_scaffold_7003069	fgenesh1_pg.C_scaffold_7003069	140	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003070	fgenesh1_pg.C_scaffold_7003070	221	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003084	fgenesh1_pg.C_scaffold_7003084	438	Kelch repeat-containing F-box family protein 
59689.fgenesh1_pg.C_scaffold_7003096	fgenesh1_pg.C_scaffold_7003096	240	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003106	fgenesh1_pg.C_scaffold_7003106	115	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003120	fgenesh1_pg.C_scaffold_7003120	1111	Belongs to the PPR family. PCMP-H subfamily. 
59689.fgenesh1_pg.C_scaffold_7003125	fgenesh1_pg.C_scaffold_7003125	142	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003126	fgenesh1_pg.C_scaffold_7003126	267	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003156	fgenesh1_pg.C_scaffold_7003156	552	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003158	fgenesh1_pg.C_scaffold_7003158	500	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003160	fgenesh1_pg.C_scaffold_7003160	224	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003163	fgenesh1_pg.C_scaffold_7003163	143	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003166	fgenesh1_pg.C_scaffold_7003166	733	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003169	fgenesh1_pg.C_scaffold_7003169	272	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003189	fgenesh1_pg.C_scaffold_7003189	777	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003239	fgenesh1_pg.C_scaffold_7003239	148	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003247	Expansin-A24	311	Causes loosening and extension of plant cell walls by disrupting non-covalent bonding between cellulose microfibrils and matrix glucans. No enzymatic activity has been found. 
59689.fgenesh1_pg.C_scaffold_7003270	fgenesh1_pg.C_scaffold_7003270	463	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003274	fgenesh1_pg.C_scaffold_7003274	400	Expressed protein 
59689.fgenesh1_pg.C_scaffold_7003279	fgenesh1_pg.C_scaffold_7003279	456	Amino acid transporter family protein 
59689.fgenesh1_pg.C_scaffold_7003284	fgenesh1_pg.C_scaffold_7003284	582	Pentatricopeptide repeat-containing protein 
59689.fgenesh1_pg.C_scaffold_7003305	fgenesh1_pg.C_scaffold_7003305	345	Hydrolase, alpha/beta fold family protein 
59689.fgenesh1_pg.C_scaffold_7003324	fgenesh1_pg.C_scaffold_7003324	592	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003331	fgenesh1_pg.C_scaffold_7003331	210	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003332	fgenesh1_pg.C_scaffold_7003332	165	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003333	fgenesh1_pg.C_scaffold_7003333	214	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003350	fgenesh1_pg.C_scaffold_7003350	263	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003354	fgenesh1_pg.C_scaffold_7003354	623	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003356	fgenesh1_pg.C_scaffold_7003356	564	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003361	fgenesh1_pg.C_scaffold_7003361	149	Predicted protein
59689.fgenesh1_pg.C_scaffold_7003362	fgenesh1_pg.C_scaffold_7003362	248	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_7003383	fgenesh1_pg.C_scaffold_7003383	408	E3 ubiquitin-protein ligase; E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates
59689.fgenesh1_pg.C_scaffold_71000005	fgenesh1_pg.C_scaffold_71000005	128	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_74000002	fgenesh1_pg.C_scaffold_74000002	1018	DNA polymerase 
59689.fgenesh1_pg.C_scaffold_747000001	fgenesh1_pg.C_scaffold_747000001	140	Predicted protein
59689.fgenesh1_pg.C_scaffold_756000001	fgenesh1_pg.C_scaffold_756000001	167	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_770000001	fgenesh1_pg.C_scaffold_770000001	272	Predicted protein
59689.fgenesh1_pg.C_scaffold_80000002	fgenesh1_pg.C_scaffold_80000002	203	Predicted protein
59689.fgenesh1_pg.C_scaffold_80000003	fgenesh1_pg.C_scaffold_80000003	325	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000001	fgenesh1_pg.C_scaffold_8000001	264	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000047	fgenesh1_pg.C_scaffold_8000047	313	Palmitoyl protein thioesterase family protein 
59689.fgenesh1_pg.C_scaffold_8000066	fgenesh1_pg.C_scaffold_8000066	477	Zinc finger family protein 
59689.fgenesh1_pg.C_scaffold_8000074	fgenesh1_pg.C_scaffold_8000074	426	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000076	fgenesh1_pg.C_scaffold_8000076	480	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000080	fgenesh1_pg.C_scaffold_8000080	197	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000104	fgenesh1_pg.C_scaffold_8000104	379	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000124	fgenesh1_pg.C_scaffold_8000124	544	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000144	fgenesh1_pg.C_scaffold_8000144	133	60S ribosomal protein L32 
59689.fgenesh1_pg.C_scaffold_8000150	fgenesh1_pg.C_scaffold_8000150	1047	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000155	FLS2	1175	Flagellin-sensitive 2 ; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family
59689.fgenesh1_pg.C_scaffold_8000176	fgenesh1_pg.C_scaffold_8000176	257	Cytochrome c oxidase subunit 2; Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1
59689.fgenesh1_pg.C_scaffold_8000184	fgenesh1_pg.C_scaffold_8000184	120	Transcription elongation factor 1 homolog; Transcription elongation factor implicated in the maintenance of proper chromatin structure in actively transcribed regions
59689.fgenesh1_pg.C_scaffold_8000186	fgenesh1_pg.C_scaffold_8000186	167	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000195	fgenesh1_pg.C_scaffold_8000195	157	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000198	fgenesh1_pg.C_scaffold_8000198	120	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000219	fgenesh1_pg.C_scaffold_8000219	122	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000224	fgenesh1_pg.C_scaffold_8000224	247	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000236	fgenesh1_pg.C_scaffold_8000236	280	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000238	fgenesh1_pg.C_scaffold_8000238	215	Mob1/phocein family protein 
59689.fgenesh1_pg.C_scaffold_8000242	fgenesh1_pg.C_scaffold_8000242	768	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000253	fgenesh1_pg.C_scaffold_8000253	701	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000257	fgenesh1_pg.C_scaffold_8000257	705	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000261	fgenesh1_pg.C_scaffold_8000261	323	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000262	fgenesh1_pg.C_scaffold_8000262	215	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000271	fgenesh1_pg.C_scaffold_8000271	682	Beta-amylase
59689.fgenesh1_pg.C_scaffold_8000275	fgenesh1_pg.C_scaffold_8000275	496	FRIGIDA-like protein; Belongs to the Frigida family
59689.fgenesh1_pg.C_scaffold_8000280	fgenesh1_pg.C_scaffold_8000280	496	FRIGIDA-like protein; Belongs to the Frigida family
59689.fgenesh1_pg.C_scaffold_8000304	fgenesh1_pg.C_scaffold_8000304	991	Belongs to the disease resistance NB-LRR family. 
59689.fgenesh1_pg.C_scaffold_8000309	fgenesh1_pg.C_scaffold_8000309	123	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000314	fgenesh1_pg.C_scaffold_8000314	874	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000317	fgenesh1_pg.C_scaffold_8000317	211	Uncharacterized protein
59689.fgenesh1_pg.C_scaffold_8000336	fgenesh1_pg.C_scaffold_8000336	147	Uncharacterized protein
